Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,Appart 3P,10.4,11.5,12.8,14.2,16,12.8,683,745,818,900,980,825,64,634,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,Appart 4P+,9.6,10.3,11.4,12.4,13.5,11.5,748,879,1021,1200,1396,1056,92,208,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,,,10.7,12.1,13.7,15.4,16.8,14.5,519,611,730,904,1220,866,60,6495,31068,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,,Ensemble 4P+,8.7,10.7,12.2,14.3,15.6,13.7,730,977,1160,1350,1560,1297,95,552,5275,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,,Ensemble 1P,12.6,14.1,15.4,17.2,18.7,15.5,353,400,460,525,570,467,30,591,2917,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,,Ensemble 2P,11.9,13.5,14.9,16.2,17.6,14.7,516,563,625,675,723,621,42,2821,11201,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,,Ensemble 3P,10.7,11.8,12.8,13.9,16.3,14.7,668,730,801,900,1050,940,64,2531,11675,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,,11.2,12.4,14,16.2,18.7,17.6,550,640,760,900,1200,1024,58,1627,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,9,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,24,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,Appart 1P,12.5,13.7,15,17.6,18.7,15.4,350,440,500,550,617,485,31,166,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,Appart 2P,13.1,14.1,15.6,16.9,18.8,15.6,544,600,645,680,779,649,42,794,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,Appart 3P,11.3,12.4,13.4,15.7,18.8,19.3,725,760,852,942,1200,1222,63,558,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,1. Moins de 1 an,Appart 4P+,8.9,10.4,12.1,12.7,14,11.7,730,815,1000,1050,1220,985,84,76,,Estimation directe
